Wavenumber,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs
858.1678,0.075174035,0.072536789,0.079764311,0.017080207,0.019268829,0.01583795,0.061358097,0.057220748,0.05406267
859.132,0.08395302,0.08113155,0.08918556,0.020906024,0.023192153,0.019667246,0.069479796,0.065265569,0.061436439
860.0963,0.092074189,0.089195753,0.097956736,0.025067057,0.027510295,0.023949287,0.077583357,0.073220466,0.068688532
861.0605,0.099299447,0.096515069,0.105820967,0.029430027,0.032099644,0.028520998,0.085448981,0.080870735,0.075642221
862.0247,0.105464931,0.102920297,0.112582387,0.033874939,0.036837305,0.033201506,0.092896488,0.088045207,0.082142346
862.989,0.110542119,0.10833907,0.118184947,0.038341921,0.041623736,0.037868219,0.099840771,0.094673313,0.088134995
863.9532,0.11464955,0.112841496,0.122726408,0.042827966,0.046424492,0.042491061,0.106302643,0.100806766,0.093672126
864.9174,0.118005878,0.116591228,0.126436413,0.047390945,0.051246182,0.047135727,0.112412383,0.106600425,0.098883125
865.8817,0.120863234,0.11981042,0.129601688,0.052093741,0.056135751,0.051900191,0.118323553,0.112235232,0.10393229
866.8459,0.1234216,0.122696273,0.132486559,0.056965915,0.061118197,0.056864064,0.124179213,0.117863504,0.108953627
867.8101,0.125802515,0.125378144,0.135256966,0.061985173,0.066191637,0.062052096,0.130049487,0.123546948,0.114001457
868.7744,0.128050827,0.127922857,0.138004117,0.067096653,0.071324465,0.067421492,0.135954051,0.12927834,0.119069002
869.7386,0.1301844,0.130356142,0.140747457,0.072229708,0.076484359,0.072900933,0.141871032,0.135003198,0.124112206
870.7028,0.132277287,0.13273877,0.143530486,0.077377074,0.081680051,0.078451807,0.147808463,0.140693807,0.129112072
871.6671,0.134461237,0.135173874,0.146427041,0.082581594,0.086960608,0.084082429,0.15380348,0.146374611,0.134088008
872.6313,0.136943355,0.13783243,0.149576798,0.087942972,0.092427458,0.089875993,0.159935113,0.152136448,0.139114665
873.5955,0.139937783,0.140900281,0.153141562,0.093564175,0.098182743,0.095933763,0.166287069,0.158098779,0.144286514
874.5598,0.143616397,0.144545112,0.157264938,0.099533136,0.104313746,0.102356101,0.172912008,0.164364298,0.149680572
875.524,0.148061883,0.148869314,0.1620491,0.105881922,0.110864573,0.109193031,0.179811344,0.170990309,0.155338321
876.4882,0.153279912,0.1539155,0.167544166,0.112615795,0.117846078,0.116463623,0.186950421,0.177980763,0.161259967
877.4525,0.159213231,0.159671817,0.173763303,0.119729998,0.125264869,0.124154972,0.194282936,0.185307943,0.167433494
878.4167,0.165811084,0.166115584,0.180716304,0.127259102,0.133148068,0.132280934,0.201792844,0.192937862,0.173865472
879.3809,0.173021206,0.173218809,0.188406959,0.135276009,0.141557482,0.14087164,0.209501757,0.200852118,0.180577054
